Date,Population,Question,Value,Text
2010,Afghans,"Right now, do you think that economic conditions where you live are getting worse?",0.16,A record 90% expressed pessimism. GDP is projected to shrink 20% from Taliban rule
2011,Afghans,"Right now, do you think that economic conditions where you live are getting worse?",0.22,A record 90% expressed pessimism. GDP is projected to shrink 20% from Taliban rule
2012,Afghans,"Right now, do you think that economic conditions where you live are getting worse?",0.39,A record 90% expressed pessimism. GDP is projected to shrink 20% from Taliban rule
2013,Afghans,"Right now, do you think that economic conditions where you live are getting worse?",0.54,A record 90% expressed pessimism. GDP is projected to shrink 20% from Taliban rule
2014,Afghans,"Right now, do you think that economic conditions where you live are getting worse?",0.67,A record 90% expressed pessimism. GDP is projected to shrink 20% from Taliban rule
2015,Afghans,"Right now, do you think that economic conditions where you live are getting worse?",0.47,A record 90% expressed pessimism. GDP is projected to shrink 20% from Taliban rule
2016,Afghans,"Right now, do you think that economic conditions where you live are getting worse?",0.41,A record 90% expressed pessimism. GDP is projected to shrink 20% from Taliban rule
2017,Afghans,"Right now, do you think that economic conditions where you live are getting worse?",0.72,A record 90% expressed pessimism. GDP is projected to shrink 20% from Taliban rule
2018,Afghans,"Right now, do you think that economic conditions where you live are getting worse?",0.74,A record 90% expressed pessimism. GDP is projected to shrink 20% from Taliban rule
2019,Afghans,"Right now, do you think that economic conditions where you live are getting worse?",0.7,A record 90% expressed pessimism. GDP is projected to shrink 20% from Taliban rule
2020,Afghans,"Right now, do you think that economic conditions where you live are getting worse?",0.795,A record 90% expressed pessimism. GDP is projected to shrink 20% from Taliban rule
2021,Afghans,"Right now, do you think that economic conditions where you live are getting worse?",0.89,A record 90% expressed pessimism. GDP is projected to shrink 20% from Taliban rule
2022,Afghans,"Right now, do you think that economic conditions where you live are getting worse?",0.9,A record 90% expressed pessimism. GDP is projected to shrink 20% from Taliban rule
2006,Afghans,Do you approve or disapprove of the job performance of the leadership of the United States?,0.52,Afghans' opinion on U.S. leadership took its biggest 1-year drop in 2022
2007,Afghans,Do you approve or disapprove of the job performance of the leadership of the United States?,0.52,Afghans' opinion on U.S. leadership took its biggest 1-year drop in 2022
2008,Afghans,Do you approve or disapprove of the job performance of the leadership of the United States?,0.52,Afghans' opinion on U.S. leadership took its biggest 1-year drop in 2022
2009,Afghans,Do you approve or disapprove of the job performance of the leadership of the United States?,0.44,Afghans' opinion on U.S. leadership took its biggest 1-year drop in 2022
2010,Afghans,Do you approve or disapprove of the job performance of the leadership of the United States?,0.54,Afghans' opinion on U.S. leadership took its biggest 1-year drop in 2022
2011,Afghans,Do you approve or disapprove of the job performance of the leadership of the United States?,0.62,Afghans' opinion on U.S. leadership took its biggest 1-year drop in 2022
2012,Afghans,Do you approve or disapprove of the job performance of the leadership of the United States?,0.54,Afghans' opinion on U.S. leadership took its biggest 1-year drop in 2022
2013,Afghans,Do you approve or disapprove of the job performance of the leadership of the United States?,0.46,Afghans' opinion on U.S. leadership took its biggest 1-year drop in 2022
2014,Afghans,Do you approve or disapprove of the job performance of the leadership of the United States?,0.41,Afghans' opinion on U.S. leadership took its biggest 1-year drop in 2022
2015,Afghans,Do you approve or disapprove of the job performance of the leadership of the United States?,0.43,Afghans' opinion on U.S. leadership took its biggest 1-year drop in 2022
2016,Afghans,Do you approve or disapprove of the job performance of the leadership of the United States?,0.5,Afghans' opinion on U.S. leadership took its biggest 1-year drop in 2022
2017,Afghans,Do you approve or disapprove of the job performance of the leadership of the United States?,0.65,Afghans' opinion on U.S. leadership took its biggest 1-year drop in 2022
2018,Afghans,Do you approve or disapprove of the job performance of the leadership of the United States?,0.69,Afghans' opinion on U.S. leadership took its biggest 1-year drop in 2022
2019,Afghans,Do you approve or disapprove of the job performance of the leadership of the United States?,0.72,Afghans' opinion on U.S. leadership took its biggest 1-year drop in 2022
2020,Afghans,Do you approve or disapprove of the job performance of the leadership of the United States?,0.775,Afghans' opinion on U.S. leadership took its biggest 1-year drop in 2022
2021,Afghans,Do you approve or disapprove of the job performance of the leadership of the United States?,0.83,Afghans' opinion on U.S. leadership took its biggest 1-year drop in 2022
2022,Afghans,Do you approve or disapprove of the job performance of the leadership of the United States?,0.7,Afghans' opinion on U.S. leadership took its biggest 1-year drop in 2022
