id,srcOrganization,destOrganization,description,cluster,amountUSD,Funding status,year
63242,"Norway, Government of",United Nations High Commissioner for Refugees,AFG-09/020/UNHCR Shelter assistance support to voluntary repatriation of Afghan refugees,Emergency Shelter and NFI,1690043.00,Paid Contribution,2009
63243,"United Kingdom, Government of",United Nations High Commissioner for Refugees,Shelter assistance support to voluntary repatriation and reintegration of Afghan returnees,Emergency Shelter and NFI,350877.00,Paid Contribution,2009
63303,"United States of America, Government of",Catholic Relief Services,Afghanistan Drought/Food Crisis Response (DFD-G-00-09-00038-01),Early Recovery,10146572.00,Commitment,2009
63305,"United States of America, Government of",ACT Alliance / United Methodist Committee on Relief,"Logistics and Relief Commodities
(DFD-G-00-09-00039-00)",Multi-sector,203898.00,Commitment,2009
63347,"Germany, Government of",Office for the Coordination of Humanitarian Affairs,Opening OCHA field office in Kabul for the coordination of humanitarian aid in Afghanistan (VN05 321.50 AFG 01/09) [OCT 2462],Coordination and support services,1278772.00,Paid Contribution,2009
63424,"Germany, Government of",United Nations High Commissioner for Refugees,Support to voluntary repatriation and reintegration of Afghans from Pakistan and Iran (VN05 321.50 AFG 07/09),Emergency Shelter and NFI,3497233.00,Paid Contribution,2009
63443,Central Emergency Response Fund,Food & Agriculture Organization of the United Nations,CERF rapid response grant to project: Emergency support to vulnerable food insecure farming families affected by high prices and drought (CERF 09-FAO-003),Agriculture,1475068.00,Paid Contribution,2009
63444,"Germany, Government of",Medico International,"Humanitarian demining, raising and training of dogs for humanitarian demining missions (VN05 440.70 AFG 02/09)",Protection - Mine Action,4219949.00,Commitment,2009
63638,"Germany, Government of",Danish De-mining Group,"Humanitarian demining in order to support resettlement of refugees, free mine areas and support of the national demining program (VN05 440.70 AFG 03/09)",Protection - Mine Action,767266.00,Commitment,2009
63649,"Denmark, Government of",Mission East,Health and Medical (46.H.1.),Health,1936133.00,Commitment,2009
63652,"Denmark, Government of",International Committee of the Red Cross,Post-conflict reconstruction (46.H.1.),Early Recovery,880080.00,Commitment,2009
63653,"Denmark, Government of",Danish De-mining Group,Demining (46.H.1.),Protection - Mine Action,1760119.00,Commitment,2009
63732,"United States of America, Government of",CARE International,Shelter and settlements (DFD-G-00-08-00203-01),Emergency Shelter and NFI,102881.00,Commitment,2009
63751,"United Kingdom, Government of",Office for the Coordination of Humanitarian Affairs,Coordinating effective and rapid response to humanitarian needs (OCT 2561),Coordination and support services,1077586.00,Paid Contribution,2009
63835,"Germany, Government of",Kinderberg International e.V.,"Indemnification of medical aid for refugees and school advancement for children in Province of Kabul, Logar and Parwan (VN05 321.50 AFG 09/09)",Multi-sector,273657.00,Commitment,2009
63887,"Switzerland, Government of",Swiss Development Cooperation/Swiss Humanitarian Aid,Small Actions Credit Line,Early Recovery,172265.00,Commitment,2009
63912,"Ireland, Government of",Concern Worldwide,To meet the immediate needs of food-insecure households through cash for work initiatives that enable families to purchase food and other essential provisions to secure food production for vulnerable households through coordinating access to drought resistant wheat seed in order to replenish seed stocks lost in drought (CON 09 06),Agriculture,511509.00,Commitment,2009
63991,"France, Government of",United Nations High Commissioner for Refugees,Contribution volontaire au HCR,,393701.00,Paid Contribution,2009
64005,"Germany, Government of",World Vision International,Community based disaster preparedness mearsures (VN05 385.28/3-07/09),Coordination and support services,274434.00,Commitment,2009
64010,European Commission's Humanitarian Aid and Civil Protection Department,ActionAid International,Strengthening community resilience to natural disasters in Kaldar and Khwajado Kho districts in Northern Afghanistan (ECHO/DIP/BUD/2009/02024),Coordination and support services,518692.00,Commitment,2009
64014,European Commission's Humanitarian Aid and Civil Protection Department,Aga Khan Foundation,"Community Based Disaster Risk Management Phase II in Badakhshan Province, Afghanistan 
(ECHO/DIP/BUD/2009/02027)",Coordination and support services,385783.00,Commitment,2009
64240,"Japan, Government of",United Nations Children's Fund,"Construction of Educational Facilities in Kabul City which contributes to conflict prevention and peace-building in the Islamic Republic of Afghanistan
(SM090053)",Education,24165810.00,Paid Contribution,2009
64321,"Ireland, Government of",United Nations Development Programme,Support to Elections (UNDP 09 01),Coordination and support services,71531.00,Commitment,2009
64357,"Germany, Government of",Deutsche Gesellschaft für Internationale Zusammenarbeit,Repatriation of Refugees from Iran and Pakistan to Afghanistan in Cooperation with the UNHCR (BMZ-No.: 2009.1801.1),Coordination and support services,483376.00,Commitment,2009
64395,"United States of America, Government of",International NGOs (Confidential),"Health, Livelihood Recovery, WASH, Shelter and Settlements, and Assistance to Conflict-Affected Populations, Returnees, and IDPs",Multi-sector,2002922.00,Commitment,2009
64406,"United States of America, Government of",United States Agency for International Development,"Administrative Support, Travel, Staff Enhancement",Coordination and support services,44000.00,Commitment,2009
64409,"United States of America, Government of",FOCUS Humanitarian Assistance,"Humanitarian coordination and information management, natural and technological risks (DFD-G-00-09-00095-01)",Coordination and support services,1697112.00,Commitment,2009
64912,"Norway, Government of",Food & Agriculture Organization of the United Nations,Emergency control measures against outbreaks of insect pests in northern and western Afghanistan (OSRO/AFG/902/NOR),Agriculture,698617.00,Paid Contribution,2009
64913,"Australia, Government of",Food & Agriculture Organization of the United Nations,Emergency support to vulnerable food-insecure farming families through provision of animal feed for the 2009 feeding seasons (OSRO/AFG/901/AUL),Agriculture,642572.00,Paid Contribution,2009
64960,"Canada, Government of",World Food Programme,Food aid,Food Security,4830918.00,Paid Contribution,2009
64961,"Germany, Government of",World Food Programme,Food aid,Food Security,7905139.00,Paid Contribution,2009
64962,"Greece, Government of",World Food Programme,Food aid,Food Security,511509.00,Paid Contribution,2009
64963,"India, Government of",World Food Programme,Food aid,Food Security,1638982.00,Paid Contribution,2009
64964,"India, Government of",World Food Programme,Food aid,Food Security,4763808.00,Paid Contribution,2009
64965,"Luxembourg, Government of",World Food Programme,Food aid,Food Security,656168.00,Paid Contribution,2009
64966,"Japan, Government of",World Food Programme,United Nations Humanitarian Air Service (UNHAS) Afghanistan,Coordination and support services,3000000.00,Paid Contribution,2009
64967,World Food Programme,World Food Programme,United Nations Humanitarian Air Service (UNHAS) Afghanistan (Multilateral funds),Coordination and support services,17770888.00,Paid Contribution,2009
64987,Bill and Melinda Gates Foundation,Catholic Relief Services,Afghanistan Drought/Food Crisis Response,Early Recovery,1000607.00,Commitment,2009
64988,CARITAS,Catholic Relief Services,Afghanistan Drought/Food Crisis Response,Early Recovery,336673.00,Commitment,2009
64989,CRS and Private Foundations,Catholic Relief Services,Afghanistan Drought/Food Crisis Response,Early Recovery,590550.00,Commitment,2009
65069,"Netherlands, Government of",United Nations High Commissioner for Refugees,Multi-sectoral support for refugee returnees and IDPs (19600),,3676471.00,Paid Contribution,2009
65079,"Netherlands, Government of",United Nations Children's Fund,"Winter Emergency preparedness for 2009
(19600) (SM090131)",Education,736772.00,Paid Contribution,2009
65083,"Netherlands, Government of",Office for the Coordination of Humanitarian Affairs,Coordinating Effective and Rapid Response to Humanitarian Needs (19600 (DMH0110047) [OCT 2636],Coordination and support services,735294.00,Paid Contribution,2009
65095,"Finland, Government of",Office for the Coordination of Humanitarian Affairs,Coordinating effective and rapid response to humanitarian needs (OCT 2556),Coordination and support services,209205.00,Paid Contribution,2009
65244,"Germany, Government of",Deutsche Welthungerhilfe e.V. (German Agro Action),"Protection of water provision, road clearance and provision of tents for affected (VN05 321.50 AFG 11/09)",Multi-sector,75597.00,Commitment,2009
65263,"Czech Republic, Government of","Afghanistan, Government of",Rehabilitation and recovery (102584/2009-ORS),Early Recovery,131752.00,Commitment,2009
65268,"Germany, Government of",Deutsche Gesellschaft für Internationale Zusammenarbeit,"Provision of 18 tons of emergency fooder, provision of 10.000 l diesel, provision and distribution of blankets, plastics and family tents (VN05 321.50 AFG 12/09)",Emergency Shelter and NFI,66313.00,Commitment,2009
65284,"Germany, Government of",Katachel e.V,"Provision of tents, blankets, road clearance and improvememt equipment (VN05 321.50 AFG 13/09)",Multi-sector,66313.00,Commitment,2009
65296,"Austria, Government of",HALO Trust,To contribute to the overall HALO workplan 2009 which aims to clear over 900 hectares of suspected mined areas (manual clearance and explosive ordinance disposal),Protection - Mine Action,331565.00,Commitment,2009
65297,"Finland, Government of",HALO Trust,Humanitarian mine action in Afghanistan,Protection - Mine Action,1406650.00,Commitment,2009
65300,"Finland, Government of",United Nations Children's Fund,UNICEFs emergency relief operations in Afghanistan (SM099906),,1394700.00,Paid Contribution,2009
65320,"Germany, Government of",Help - Hilfe zur Selbsthilfe e.V.,Reintegration of afghan returnees and displaced persons (BMZ-No.: 2009.1832.6),Multi-sector,663130.00,Commitment,2009
65410,"Ireland, Government of",HALO Trust,Mineclearance (HALO 09 03),Protection - Mine Action,1061008.00,Commitment,2009
65775,"Czech Republic, Government of",HALO Trust,Mine clearing (107760/2009-ORS),Protection - Mine Action,223152.00,Commitment,2009
65842,"Ireland, Government of",World Bank,To contribute to ongoing reconstruction and development (ARTF 09 01),Multi-sector,2652520.00,Commitment,2009
66028,"Turkey, Government of",Office for the Coordination of Humanitarian Affairs,Coordination effective and rapid response to humanitarian needs (OCT 2634),Coordination and support services,50000.00,Paid Contribution,2009
66030,European Commission's Humanitarian Aid and Civil Protection Department,Mission d'Aide au Développement des Economies Rurales en Afghanistan,"Food aid to highly vulnerable populations in Wardak province, Afghanistan (ECHO/-AS/BUD/2009/01001)",Food Security,624324.00,Commitment,2009
66031,European Commission's Humanitarian Aid and Civil Protection Department,Mission d'Aide au Développement des Economies Rurales en Afghanistan,Food Aid to highly vulnerable populations in Ghor province (ECHO/-AS/BUD/2009/01002),Food Security,1234434.00,Commitment,2009
66032,European Commission's Humanitarian Aid and Civil Protection Department,People in Need,Bridging the gap - urgent humanitarian support to vulnerable population groups in food insecure regions of Paktia province (ECHO/-AS/BUD/2009/01003),Water Sanitation Hygiene,524333.00,Commitment,2009
66046,European Commission's Humanitarian Aid and Civil Protection Department,ACF - France Action Contre la Faim,"Urgent humanitarian support to vulnerable population groups in most food insecure regions of Afghanistan
(ECHO/-AS/BUD/2009/01004)",Food Security,941000.00,Commitment,2009
66047,European Commission's Humanitarian Aid and Civil Protection Department,Agency for Technical Cooperation and Development,"Immediate humanitarian support to address food security in highly vulnerable populations of Afghanistan during spring hunger gap
(ECHO/-AS/BUD/2009/01006)",Agriculture,1096569.00,Commitment,2009
66048,European Commission's Humanitarian Aid and Civil Protection Department,ActionAid International,"Food security support to the drought-prone areas of Afghanistan
(ECHO/-AS/BUD/2009/01007)",Food Security,1317549.00,Commitment,2009
66092,"Germany, Government of",Deutsche Welthungerhilfe e.V. (German Agro Action),"Provision and distribution of tents, blankets and mosquito nets (VN05 321.50 AFG 14/09)",Emergency Shelter and NFI,69735.00,Commitment,2009
66106,"Germany, Government of",Deutsche Welthungerhilfe e.V. (German Agro Action),Agricultural Development Jowzjan (Northern Afghanistan) II (BMZ-No.: 2009.1823.5),Agriculture,1193634.00,Commitment,2009
66319,"Germany, Government of",Caritas Germany (DCV),Improvement of health facilities and general infrastructure (BMZ-No.: 2009.1836.7),Health,265252.00,Commitment,2009
66320,"Australia, Government of",United Nations Mine Action Service,Landmine and Explosive Remnants of War Surveys and Clearance,Protection - Mine Action,3221000.00,Paid Contribution,2009
66321,"Denmark, Government of",United Nations Mine Action Service,Landmine and Explosive Remnants of War Surveys and Clearance (46.H.9.a.112.a.),Protection - Mine Action,846310.00,Paid Contribution,2009
66322,"Japan, Government of",United Nations Mine Action Service,Landmine and Explosive Remnants of War Surveys and Clearance,Protection - Mine Action,3000000.00,Paid Contribution,2009
66323,"Finland, Government of",United Nations Mine Action Service,Landmine and Explosive Remnants of War Surveys and Clearance,Protection - Mine Action,843882.00,Paid Contribution,2009
66324,"Austria, Government of",United Nations Mine Action Service,Landmine and Explosive Remnants of War Surveys and Clearance,Protection - Mine Action,348675.00,Pledge,2009
66325,"Netherlands, Government of",United Nations Mine Action Service,Landmine and Explosive Remnants of War Surveys and Clearance,Protection - Mine Action,4865000.00,Paid Contribution,2009
66326,"Spain, Government of",United Nations Mine Action Service,Landmine and Explosive Remnants of War Surveys and Clearance,Protection - Mine Action,706970.00,Paid Contribution,2009
66327,"Canada, Government of",United Nations Mine Action Service,Landmine and Explosive Remnants of War Surveys and Clearance,Protection - Mine Action,9394817.00,Paid Contribution,2009
66328,"Canada, Government of",United Nations Mine Action Service,Landmine and Explosive Remnants of War Surveys and Clearance,Protection - Mine Action,1630789.00,Paid Contribution,2009
66329,"Canada, Government of",United Nations Mine Action Service,Landmine and Explosive Remnants of War Surveys and Clearance,Protection - Mine Action,1618253.00,Paid Contribution,2009
66330,"Canada, Government of",CARE International,Humanitarian Assistance for Widows of Kabul (KHAWA),Protection,763016.00,Pledge,2009
66333,"Norway, Government of",HALO Trust,HALO Integrated mine clearance (AFG-09/016),Protection - Mine Action,1975384.00,Commitment,2009
66334,"Norway, Government of",Tromso Center for Mine Damages,Mine and war victim assistance (AFG-09/054),Protection - Mine Action,454786.00,Paid Contribution,2009
66335,"Norway, Government of",Deutsche Welthungerhilfe e.V. (German Agro Action),Security for NGOs in Afghanistan (AFG-09/047),Coordination and support services,305425.00,Commitment,2009
66336,"Norway, Government of",CARE Norway,CARE - NGO advocacy and training (AFG-09/017),Education,296611.00,Commitment,2009
66337,"Norway, Government of",Afghanistan Independent Human Rights Commission,Support for Human Rights agenda (AFG-09/052),Protection,305425.00,Commitment,2009
66338,"Norway, Government of",Norwegian Refugee Council,"Promoting access to durable reintegration solutions, including
housing, land and property for returning Afghan refugees (AFG-09/012)",Protection,415185.00,Commitment,2009
66340,"Norway, Government of",Norwegian Refugee Council,"Information, Counselling and Legal Assistance to IDPs and Returnees (AFG-09/012)",Protection,3079725.00,Commitment,2009
66341,"Canada, Government of",World Food Programme,United Nations Humanitarian Air Service (UNHAS) Afghanistan,Coordination and support services,646320.00,Paid Contribution,2009
66342,"Canada, Government of",World Food Programme,"Provision of Telecommunications Training to the Humanitarian Community, and Security Telecommunications Systems
upgrade",Emergency Telecommunications,330167.00,Paid Contribution,2009
66345,"Canada, Government of",International Committee of the Red Cross,ICRC Emergency Appeals 2009,Multi-sector,5026930.00,Commitment,2009
66347,"Sweden, Government of",Danish Committee for Aid to Afghan Refugees,"Provincial Integrated Rural Water Supply Sanitation and Hygiene Education Projects in Rostaq District, Takhar Province",Water Sanitation Hygiene,320000.00,Commitment,2009
66348,"Netherlands, Government of",United Nations Children's Fund,"Provision of Safe Drinking Water, Sanitation and Hygiene",Water Sanitation Hygiene,650560.00,Paid Contribution,2009
66349,"Norway, Government of",Danish Committee for Aid to Afghan Refugees,Enhanced Safe Water in Faryab Province,Water Sanitation Hygiene,2300000.00,Commitment,2009
66350,"Sweden, Government of",Danish Committee for Aid to Afghan Refugees,"Provision of Safe Drinking Water, Sanitation and Hygiene Education in
Balkh, Dawlatabad, Charbulak, and Khulm Districts of Balkh Province",Water Sanitation Hygiene,610000.00,Commitment,2009
66351,European Commission's Humanitarian Aid and Civil Protection Department,Danish Committee for Aid to Afghan Refugees,Provision of relief and assistance to returnees and vulnerable host communities in Afghanistan,Water Sanitation Hygiene,2298191.00,Commitment,2009
66352,European Commission's Humanitarian Aid and Civil Protection Department,Caritas Germany (DCV),"Improvement of living conditions for remote population in Central
Highlands (ECHO/-AS/BUD/2009/01009)",Water Sanitation Hygiene,465000.00,Commitment,2009
66407,"Denmark, Government of",United Nations High Commissioner for Refugees,Shelter assistance support to voluntary repatriation and reintegration of Afghan returnees (46.Afghanistan.5.b-9.),Emergency Shelter and NFI,1717328.00,Paid Contribution,2009
66408,Private (individuals & organizations),United Nations High Commissioner for Refugees,Trust Fund for Protection of Women At Risk and Prevention of SGBV,Protection,101247.00,Paid Contribution,2009
66409,Private (individuals & organizations),United Nations High Commissioner for Refugees,To be allocated to specific project/sector,,158283.00,Paid Contribution,2009
66410,"Switzerland, Government of",United Nations High Commissioner for Refugees,To be allocated to specific project/sector,,652742.00,Paid Contribution,2009
66411,"Sweden, Government of",United Nations High Commissioner for Refugees,To be allocated to specific project/sector,,4253706.00,Paid Contribution,2009
66412,"Japan, Government of",United Nations High Commissioner for Refugees,To be allocated to specific project/sector,,11115702.00,Paid Contribution,2009
66413,European Commission's Humanitarian Aid and Civil Protection Department,United Nations High Commissioner for Refugees,To be allocated to specific project/sector (ECHO/-AS/BUD/2009/01028),,10060419.00,Paid Contribution,2009
66414,"Canada, Government of",United Nations High Commissioner for Refugees,To be allocated to specific project/sector,,2396166.00,Paid Contribution,2009
66415,"Australia, Government of",United Nations High Commissioner for Refugees,To be allocated to specific project/sector,,1294964.00,Paid Contribution,2009
66417,United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,Human Rights Field Monitoring Partnership Agreement,Protection,268740.00,Paid Contribution,2009
66418,United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,Assistance to extremely vulnerable individuals,Protection,224444.00,Paid Contribution,2009
66419,United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,Trust Fund for Protection of Women at Risk and Prevention of SGBV,Protection,132111.00,Paid Contribution,2009
66420,United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,"Mass information via BBC to increase awareness of IDP, refugee and retournee issues",Protection,157212.00,Paid Contribution,2009
66421,United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,Shelter assistance support to voluntary repatriation and reintegration,Emergency Shelter and NFI,8483543.00,Paid Contribution,2009
66422,United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,Multi Sectoral support for refugee returnees and IDPs,Multi-sector,26797902.00,Paid Contribution,2009
66483,"Finland, Government of",United Nations Children's Fund,Strengthening and expanding the monitoring and reporting system on children´s rights violations in armed conflict (SM099906),Protection,100000.00,Paid Contribution,2009
66484,"Finland, Government of",United Nations Children's Fund,"Humanitarian response and coordination
(SM099906)",,500000.00,Paid Contribution,2009
66485,"Netherlands, Government of",United Nations Children's Fund,Nutrition emergency preparedness and response action plan (SM090131),Nutrition,604550.00,Paid Contribution,2009
66486,"Netherlands, Government of",United Nations Children's Fund,Strengthening and expanding the monitoring and reporting system on children´s rights violations in armed conflict (SM090131),Protection,214000.00,Paid Contribution,2009
66659,"France, Government of",International Committee of the Red Cross,Food aid to IPD´s,Food Security,1093176.00,Commitment,2009
66660,"France, Government of",Action Contre la Faim,Food for work and seeds distribution for vulnerable families,Multi-sector,704724.00,Commitment,2009
66661,"France, Government of",Solidarités International,Food for work and food distributions to the most vulnerable groups,Food Security,170604.00,Commitment,2009
66662,"France, Government of",Mission d'Aide au Développement des Economies Rurales en Afghanistan,Food for work and food distribution for the most vulnerable families,Food Security,656168.00,Commitment,2009
67009,"Germany, Government of",Deutsche Gesellschaft für Internationale Zusammenarbeit,Fonds for little aid-projects in AFG (BMZ-No.: 2009.1840.9),Multi-sector,1394700.00,Commitment,2009
67035,"Sweden, Government of",ACF - France Action Contre la Faim,To bridge the hunger gap a couple of months and provide agricultural inputs for the 2009/10 cropping season in the Samangan province. The Swedish contribute will mainly be used for cereals and vegetables seeds and fertilizer distribution and kitchen garden training,Agriculture,479199.00,Commitment,2009
67046,"Norway, Government of",Office for the Coordination of Humanitarian Affairs,Support to the OCHA office in Afghanistan (AFG-09/018)[OCT 2675],Coordination and support services,774530.00,Paid Contribution,2009
67193,"Sweden, Government of",Office for the Coordination of Humanitarian Affairs,Coordinating Effective and Rapid Response to Humanitarian Needs (OCT 2674),Coordination and support services,1410000.00,Paid Contribution,2009
67197,"Sweden, Government of",United Nations Children's Fund,"Emergency shelter, water, sanitation and hygiene, common services/coordination, and protection.",,806460.00,Paid Contribution,2009
67242,"United States of America, Government of",Office for the Coordination of Humanitarian Affairs,Coordinating effective and rapid response to humanitarian needs (OCT 2660),Coordination and support services,1500000.00,Commitment,2009
67303,"Norway, Government of",Right to Play,AFG-09/015/Teacher training - sport and play program for Afgh refugees in Pakistan,Education,258163.00,Paid Contribution,2009
67304,"Norway, Government of",Norske PEN,"AFG-09/038/Human rights
 - Support Writers House in Kabul",Protection,113566.00,Paid Contribution,2009
67305,"Norway, Government of",Afghanistan Independent Human Rights Commission,AFG-09/052/Support for Human Rights agenda in Afghanistan,Protection,466708.00,Paid Contribution,2009
67306,"Norway, Government of",Afghanistan Landmine Survivors' Organisation,AFG-09/068/Advocacy for the CCM and Psychological Support to Disabled Persons,Health,72394.00,Paid Contribution,2009
67434,"Japan, Government of",World Food Programme,Food aid,Food Security,5882353.00,Paid Contribution,2009
67476,"Italy, Government of",United Nations High Commissioner for Refugees,Multi Sectoral support for refugee returnees and IDPs,Multi-sector,1129419.00,Paid Contribution,2009
67477,"United States of America, Government of",United Nations High Commissioner for Refugees,To be allocated to specific project/sector,,1300000.00,Paid Contribution,2009
67532,"Belgium, Government of",United Nations High Commissioner for Refugees,To be allocated to specific project/sector,,561798.00,Paid Contribution,2009
67613,"Italy, Government of",International Federation of Red Cross and Red Crescent Societies,To assist affected population (AID 9301/01/4),Health,843882.00,Commitment,2009
67614,"Italy, Government of",International Committee of the Red Cross,Humanitarian Emergency - ICRC Emergency Appeal 2009 (AID 9295/01/6),Multi-sector,1265823.00,Commitment,2009
67904,"Luxembourg, Government of",CARITAS,Food aid and medical support for pregnant and lactating women,Multi-sector,129117.00,Paid Contribution,2009
67942,"Italy, Government of",United Nations High Commissioner for Refugees,To assist affected population,,371840.00,Pledge,2009
67963,"Norway, Government of",United Nations Children's Fund,Humanitarian activities in Afghanistan,,39640.00,Paid Contribution,2009
68073,European Commission's Humanitarian Aid and Civil Protection Department,Mission d'Aide au Développement des Economies Rurales en Afghanistan,"Provision of safe water, sanitation and hygiene education to remote communities of the Central Highlands (ECHO/-AS/BUD/2009/01008)",Water Sanitation Hygiene,426360.00,Commitment,2009
68074,European Commission's Humanitarian Aid and Civil Protection Department,Caritas Germany (DCV),Drought relief (food)for remote populations in the Central Highlands of Afghanistan (ECHO/-AS/BUD/2009/01005),Food Security,371314.00,Commitment,2009
68075,European Commission's Humanitarian Aid and Civil Protection Department,International Rescue Committee,Sustainable Return and Reintegration of Refugees in Afghanistan 2009 [Nangarhar Province] (part of ECHO/-AS/BUD/2009/01010),Emergency Shelter and NFI,804332.00,Commitment,2009
68076,European Commission's Humanitarian Aid and Civil Protection Department,International Rescue Committee,Sustainable Return and Reintegration of Refugees in Afghanistan 2009 [Paktya Province] (part of ECHO/-AS/BUD/2009/01010),Emergency Shelter and NFI,450252.00,Commitment,2009
68077,European Commission's Humanitarian Aid and Civil Protection Department,Solidarités International,WAT/SAN - Improvement of living conditions for vulnerable Kabul city outskirts (ECHO/-AS/BUD/2009/01011),Water Sanitation Hygiene,1576011.00,Commitment,2009
68078,European Commission's Humanitarian Aid and Civil Protection Department,Enfants du Monde - Droits de l'Homme,Emergency protection for vulnerable children at risk in Kabul (ECHO/-AS/BUD/2009/01012),Protection,332899.00,Commitment,2009
68079,European Commission's Humanitarian Aid and Civil Protection Department,International Committee of the Red Cross,ICRC economic security activities in Afghanistan (Food Aid) [ECHO/-AS/BUD/2009/01014],Food Security,4791842.00,Commitment,2009
68080,European Commission's Humanitarian Aid and Civil Protection Department,Solidarités International,WAT/SAN - Improvement of the living conditions of the most vulnerable rural population in Northern Afghanistan (ECHO/-AS/BUD/2009/01020),Water Sanitation Hygiene,780591.00,Commitment,2009
68081,European Commission's Humanitarian Aid and Civil Protection Department,Agency for Technical Cooperation and Development,Emergency shelter response to Flooding in North-Eastern Afghanistan (ECHO/-AS/BUD/2009/01023),Emergency Shelter and NFI,400461.00,Commitment,2009
68082,European Commission's Humanitarian Aid and Civil Protection Department,MEDAIR,"SHELTER - Emergency Disaster Response Project - Responding to the Heavy Rains, Floods and Landslides in Badakhshan Province, Afghanistan
(ECHO/-AS/BUD/2009/01024)",Emergency Shelter and NFI,329360.00,Commitment,2009
68102,"Germany, Government of",Deutsche Gesellschaft für Internationale Zusammenarbeit,Emergency Aid after Flood Disaster in North Afghanistan (BMZ-No.: 2009.1870.6),Multi-sector,1404494.00,Commitment,2009
